Cases,Solutions
list all ipc sections,"Chapter I: Introduction, Chapter II: General Explanations, Chapter III: Punishments, Chapter IV: General Exceptions, Chapter V: Abetment, Chapter VA: Criminal Conspiracy, Chapter VI: Offenses Against the State, Chapter VII: Offenses Relating to the Army, Navy, and Air Force, Chapter VIII: Offenses Against the Public Tranquility, Chapter IX: Offenses by or Relating to Public Servants, Chapter IXA: Offenses Relating to Elections, Chapter X: Contempt of Lawful Authority of Public Servants, Chapter XI: False Evidence and Offenses Against Public Justice, Chapter XII: Offenses Relating to Coin and Government Stamps, Chapter XIII: Offenses Relating to Weights and Measures, Chapter XIV: Offenses Affecting the Public Health, Safety, Convenience, Decency, and Morals, Chapter XV: Offenses Relating to Religion, Chapter XVI: Offenses Affecting the Human Body, Chapter XVII: Offenses Against Property, Chapter XVIII: Offenses Relating to Documents and Property Marks, Chapter XIX: Criminal Breach of Contracts of Service, Chapter XX: Offenses Relating to Marriage, Chapter XXA: Cruelty by Husband or Relatives of Husband, Chapter XXI: Defamation, Chapter XXII: Criminal Intimidation, Insult and Annoyance, Chapter XXIII: Attempts to Commit Offenses"
list all sections of ipc,"Chapter I: Introduction, Chapter II: General Explanations, Chapter III: Punishments, Chapter IV: General Exceptions, Chapter V: Abetment, Chapter VA: Criminal Conspiracy, Chapter VI: Offenses Against the State, Chapter VII: Offenses Relating to the Army, Navy, and Air Force, Chapter VIII: Offenses Against the Public Tranquility, Chapter IX: Offenses by or Relating to Public Servants, Chapter IXA: Offenses Relating to Elections, Chapter X: Contempt of Lawful Authority of Public Servants, Chapter XI: False Evidence and Offenses Against Public Justice, Chapter XII: Offenses Relating to Coin and Government Stamps, Chapter XIII: Offenses Relating to Weights and Measures, Chapter XIV: Offenses Affecting the Public Health, Safety, Convenience, Decency, and Morals, Chapter XV: Offenses Relating to Religion, Chapter XVI: Offenses Affecting the Human Body, Chapter XVII: Offenses Against Property, Chapter XVIII: Offenses Relating to Documents and Property Marks, Chapter XIX: Criminal Breach of Contracts of Service, Chapter XX: Offenses Relating to Marriage, Chapter XXA: Cruelty by Husband or Relatives of Husband, Chapter XXI: Defamation, Chapter XXII: Criminal Intimidation, Insult and Annoyance, Chapter XXIII: Attempts to Commit Offenses"
my pen was stolen what was I do,"We can't do anything the value of the property is very low , for valuable property we can file complaint under section 410 and 411."
theft,"Section 410  Stolen property.—Property, the possession whereof has been transferred by theft, or by extortion, or by robbery, and property which has been criminally misappropriated or in respect of which criminal breach of trust has been committed, is designated as “stolen property”, whether the transfer has been made, or the misappropriation or breach of trust has been committed, within or without India. But, if such property subsequently comes into the possession of a person legally entitled to the possession thereof, it then ceases to be stolen property."
thief,"Section 410  Stolen property.—Property, the possession whereof has been transferred by theft, or by extortion, or by robbery, and property which has been criminally misappropriated or in respect of which criminal breach of trust has been committed, is designated as “stolen property”, whether the transfer has been made, or the misappropriation or breach of trust has been committed, within or without India. But, if such property subsequently comes into the possession of a person legally entitled to the possession thereof, it then ceases to be stolen property."
My car was stolen,We can file complaint under section 410 and 411
My car has been theft,We can file complaint under section 410 and 411
My car was theft,We can file complaint under section 410 and 411
my car has been stolen,We can file complaint under section 410 and 411
I have pulled the theif while he snaching my chain ,We can file complaint under section of  76 to 106 General Exceptions of the Right of Private Defence
chain snaching,It comes under Section 356. Assault or criminal force in attempt to commit theft of property carried by a person.
chain snach,It comes under Section 356. Assault or criminal force in attempt to commit theft of property carried by a person.
section for chain snach,It comes under Section 356. Assault or criminal force in attempt to commit theft of property carried by a person.
section for child rape,we can file complaint under section 375
child rape,we can file complaint under section 376
my son was missing,we can file complaint under Section 107/108
my son was killed,"we can file a complaint under Section 302. Punishment for murder. Whoever commits murder shall be punished with death or imprisonment for life, and shall also be liable to fine."
section for killing,"Section 302. Punishment for murder. Whoever commits murder shall be punished with death or imprisonment for life, and shall also be liable to fine."
kill,"Section 302. Punishment for murder. Whoever commits murder shall be punished with death or imprisonment for life, and shall also be liable to fine."
killing,"Section 302. Punishment for murder. Whoever commits murder shall be punished with death or imprisonment for life, and shall also be liable to fine."
missing,we can file complaint under Section 107/108
section for missing,we can file complaint under Section 107/109
child was raped,we can file complaint under section 376
child abuse,"we can file complaint under Section 354A ,Other sections that may be applicable in harassment cases include 294, 354, and 509. Mental harassment is considered a punishable offense that includes acts that cause grave mental agony and suffering to the victim. "
my child was abused,"we can file complaint under Section 354A ,Other sections that may be applicable in harassment cases include 294, 354, and 509. Mental harassment is considered a punishable offense that includes acts that cause grave mental agony and suffering to the victim. "
Define IPC ,"The Indian Penal Code (IPC) is India's official criminal code, which defines crimes and their punishments. The IPC is divided into 23 chapters and 511 sections. The first draft was prepared in 1860 by the First Law Commission, chaired by Thomas Babington Macaulay. The draft was based on English law, the Napoleonic Code, and the Louisiana Civil Code of 1825."
IPC,"The Indian Penal Code (IPC) is India's official criminal code, which defines crimes and their punishments. The IPC is divided into 23 chapters and 511 sections. The first draft was prepared in 1860 by the First Law Commission, chaired by Thomas Babington Macaulay. The draft was based on English law, the Napoleonic Code, and the Louisiana Civil Code of 1825."
Expansion of IPC,The expansion of IPC is Indian Penal Code
Expand IPC,The expansion of IPC is Indian Penal Code
"im a bank employee ,I have tortured by someone","we can file complaint on Misbehaving with a bank employee is covered by IPC 332 and 352, which can result in 2 to 3 years in prison and is a non-bailable crime"
bank employee,"Misbehaving with a bank employee is covered by IPC 332 and 352, which can result in 2 to 3 years in prison and is a non-bailable crime"
misbehaving,under section 93 we can file a police complaint against the person responsible for misbehavior
section for misbehaving,section 93 we can file a police complaint against the person responsible for misbehavior
"im sitha , a person misbehaved with me ",under section 93 we can file a police complaint against the person responsible for misbehavior
misbehave,under section 93 we can file a police complaint against the person responsible for misbehavior
he gave me a fake currency.,we can file case under Sections 489A to 489E Offences relating to Currency Notes and Bank Notes
